,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
4766,Gilead,"A Randomised, Double-blind, Placebo-controlled Trial to Assess the Safety, Tolerability and Pharmacokinetics of GS-9411 in Healthy Male Volunteers","The purpose of this study is to evaluate the safety and tolerability of escalating doses of GS-9411 in healthy male volunteers. GS-9411 is a sodium channel inhibitor, that may restore airway hydration and mucociliary clearance in the lung.",2008,11,Phase 1,12,Completed,Cystic Fibrosis,November,2006-2010,<50
4767,Pfizer,"A Randomized, Double-Blind, Placebo-Controlled, Phase III Study of the Matrix Metalloprotease Inhibitor AG3340 in Combination With Mitoxantrone and Prednisone With Provision for Subsequent Change in Therapy in Patients Having Hormone-Refractory Prostate Cancer",RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known whether mitoxantrone and prednisone are more effective with or without prinomastat in treating patients with metastatic prostate cancer. PURPOSE: Randomized phase III trial to determine the effectiveness of mitoxantrone and prednisone with or without prinomastat in treating patients who have metastatic prostate cancer that has not responded to hormone therapy.,1998,3,Phase 3,525,Completed,Prostatic Neoplasms,March,1996-2000,500-999
4768,GSK,"201546, A Repeat-dose Study of Batefenterol/FF (GSK961081/GW685698) Compared With Placebo in the Treatment of COPD","Batefenterol inhalation powder is currently under development as a fixed-dose combination with fluticasone furoate (FF) for the treatment of Chronic Obstructive Pulmonary Disease (COPD). The present study will administer batefenterol/FF (300/100 micrograms [mcg]) for the first time to subjects with COPD, to investigate the safety and tolerability of the combination compared with placebo, and to evaluate the pharmacokinetics and pharmacodynamics profiles of the individual components when administered in combination. This is a Phase IIa, multicenter, randomized, placebo-controlled, double-blind, parallel group study. Subjects will be randomized (2:1) to one of the following double-blind treatment groups: Batefenterol/FF 300/100 mcg inhalation powder once daily, or matching placebo inhalation powder once daily. Subjects will self-administer the study treatments once daily (QD) in the morning for 42 days via a multi-dose dry powder inhaler (DPI) which contains two blister strips. Additionally, an inhaled short acting beta2-receptor agonist, albuterol will be provided from screening to the end of the treatment period for all subjects to use as needed to relieve COPD symptoms. At the end of the treatment period, subjects can resume conventional therapy. The study will randomize approximately 60 subjects. The total duration of subject participation (from screening to follow-up) will be approximately 8 weeks.",2015,12,Phase 2,63,Completed,"Pulmonary Disease, Chronic Obstructive",December,2011-2015,50-99
4769,Merck,"A Multicenter, Double-Blind, Randomized, Active-Controlled Study to Evaluate the Safety and Antiretroviral Activity of MK-0518 Versus Efavirenz in Treatment Naive HIV-Infected Patients, Each in Combination With TRUVADA™","This study will investigate the safety and efficacy of MK-0518 versus efavirenz, in combination with TRUVADA, as a therapy for Human Immunodeficiency Virus (HIV)-infected patients not previously treated.",2006,8,Phase 3,566,Completed,HIV Infections,August,2006-2010,500-999
4770,JNJ,"A Phase III, Randomized, Double-blind, Placebo-controlled Trial in Japan to Investigate the Efficacy and Safety of TMC435 vs. Placebo as Part of a Treatment Regimen Including Peginterferon Alfa-2a and Ribavirin in Treatment-Naive, Genotype 1, Hepatitis C-infected Subjects",The purpose of this study is to evaluate the efficacy and safety of TMC435 compared with placebo in combination with peginterferon alfa-2a (pegIFN alfa-2a) and ribavirin in treatment-naive patients with chronic genotype 1 hepatitis C virus (HCV) infection in Japan.,2011,2,Phase 3,183,Completed,Hepatitis,February,2011-2015,100-499
4771,Novartis,"A Phase 2, Multi-center, Randomized, Open-label, Dose-escalation Study to Determine Safety of Single (QD) and Multiple (3 QD) Doses of KAE609, Given to Adults With Uncomplicated Plasmodium Falciparum Malaria.",KAE609 will be evaluated primarily for hepatic safety of single and multiple doses in sequential cohorts with increasing doses. This study aims to determine the maximum safe dose of the investigational drug KAE609 in malaria patients.,2017,11,Phase 2,150,Recruiting,Malaria,November,2016-2020,100-499
4772,Pfizer,"An Open-Label, Randomized, Phase 3 Trial Of Intravenous Temsirolimus (CCI-779) At Two Dose Levels Compared To Investigator's Choice Therapy In Relapsed, Refractory Subjects With Mantle Cell Lymphoma (MCL)","This is an open-label, randomized trial in relapsed refractory subjects with mantle cell lymphoma (MCL).",2005,5,Phase 3,169,Completed,Lymphoma,May,2001-2005,100-499
4773,Merck,"A Multiple-dose Clinical Study to Evaluate the Safety, Tolerability, Pharmacokinetics and QTc Effect of MK-8189 in Participants With Schizophrenia and Healthy Participants.","This 4-panel study will evaluate the safety, tolerability, pharmacokinetics (PK) and corrected QT interval (QTc) effect of MK-8189 (vs. placebo) in healthy participants (Panel A), as monotherapy in participants with schizophrenia (Panel B), as add-on therapy in participants with schizophrenia (Panel C), and in healthy participants with an alternative dose-titration scheme (Panel D).",2018,6,Phase 1,56,Suspended,Schizophrenia,June,2016-2020,50-99
4774,GSK,Immunogenicity and Safety of GSK Biologicals' Herpes Zoster Vaccine GSK1437173A in Adults With a Prior Episode of Herpes Zoster,The purpose of this study is to evaluate the immunogenicity and safety of GSK Biologicals' HZ/su vaccine in subjects' ≥ 50 years of age (YOA) who previously have had Herpes Zoster (HZ). The data collected will be compared with the data from subjects without HZ in other HZ/su trials.,2013,6,Phase 3,96,Completed,Herpes Zoster,June,2011-2015,50-99
4775,Merck,MK0952 in Patients With Mild-to-Moderate Alzheimer's Disease,MK0952 is a phosphodiesterase type IV (PDE4) inhibitor in development for improvement of cognitive impairment in mild-to-moderate Alzheimer's disease.,2006,11,Phase 2,24,Terminated,Alzheimer Disease,November,2006-2010,<50
4776,Novartis,An Extension Study of the Safety and Anti-leukemic Effects of Imatinib Mesylate in Adult Patients With Ph + Leukemia,This extension study will allow for further follow-up of the disease under treatment with imatinib mesylate and allow patients to continue to receive imatinib mesylate.,2004,8,Phase 2,356,Completed,"Leukemia, Myeloid, Acute",August,2001-2005,100-499
4777,GSK,"Persistence of Hepatitis B Antibodies, Immunogenicity and Safety of GSK Biologicals' Hepatitis B Vaccine Engerix™-B Kinder (SKF103860) Challenge Dose in Adolescents Vaccinated With Four Doses of Infanrix™ Hexa (SB217744) During Infancy","The purpose of this study is to assess the long-term persistence of immunity to hepatitis B in adolescents aged 12-13 years who were vaccinated with four doses of Infanrix™-Hexa in infancy and to assess the anamnestic response, immunogenicity, safety and reactogenicity of a single challenge dose of the hepatitis B vaccine Engerix™-B Kinder.",2014,2,Phase 4,301,Completed,Hepatitis B,February,2011-2015,100-499
4778,Novartis,"A Multi-center, Randomized, Double-blind, Cross-over, Placebo-controlled Clinical Trial to Evaluate Efficacy and Safety of Oxcarbazepine p.o. (300-1200 mg/Day) as Adjuvant Therapy for Impulsivity and Aggressive Behavior in Conduct Disorders in Adolescents",Conduct disorder is a group of psychiatric symptoms that can include clinical characteristics of impulsivity and aggressive behavior. This study will investigate the efficacy a safety of oxcarbazepine in the treatment of adolescents with conduct disorder.,2003,4,Phase 4,50,Completed,Conduct Disorder,April,2001-2005,<50
4779,GSK,"A Randomized, Placebo-Controlled, Double-Blind, Clinical Study to Assess the Safety, Tolerability and Pharmacokinetics of Oral SRT2104 Capsules Administered to Healthy Elderly Subjects for 28 Days","The primary objective is to determine the pharmacokinetics, safety and tolerability of SRT2104 in healthy elderly subjects following single and 28 days dosing. The secondary objectives of the study are: 1. To contrast changes in leg muscle function following repeat doses of SRT2104 or placebo: Endurance exercise tolerance 31P MRS measures of mitochondrial oxidative capacity in the gastrocnemius muscle 2. To test for a change in the ratio of visceral to subcutaneous body fat following repeat doses of SRT2104 relative to placebo using MRI 3. To estimate any changes in insulin sensitivity (using mOGTT) following repeat doses of SRT2104 or placebo 4. To test for dose-related effects on the exploratory pharmacodynamic measures above",2009,10,Phase 1,24,Completed,Muscular Atrophy,October,2006-2010,<50
4780,Merck,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of Ezetimibe 10 mg or Placebo Co-administered With Existing Simvastatin 10mg or 20mg in Attaining Low-Density Lipoprotein Cholesterol Target Levels in Patients With Hypercholesterolemia and Coronary Heart Disease and/or Type II Diabetes","The study was designed to assess whether 6 weeks of co-administration of ezetimibe and simvastatin is more effective than simvastatin monotherapy in allowing patients in the CHD risk strata of the NCEP III guidelines to achieve their LDL-C target goal of <=3.0 mmol/L. As this study was to be conducted in Canada, the target LDL-C goal for patients with CHD, or type II diabetic patients >30 years old with no CHD, was <2.5 mmol/L.",2004,1,Phase 4,82,Terminated,Hypercholesterolemia,January,2001-2005,50-99
4781,GSK,"A Phase I Open-label, Dose Escalation Study to Investigate the Safety, Pharmacokinetics, Pharmacodynamics and Clinical Activity of GSK2879552 Given Orally in Subjects With Relapsed/Refractory Acute Myeloid Leukemia","This study is a phase I, open-label study to determine recommended phase 2 dose (RP2D) and regimen for the orally administered lysine specific demethylase 1 (LSD1) inhibitor GSK2879552, alone or in combination with All-Trans Retinoic Acid (ATRA). The recommended dose and regimen will be selected based on the safety, pharmacokinetic (PK), and pharmacodynamic (PD) profiles observed after the treatment of subjects with relapsed/refractory AML. The study consists of two parts. Part 1 will identify the maximum tolerated dose (MTD) and/or RP2D using a dose-escalation procedure. Dose escalations will be guided by the Neuenschwander-continual reassessment method (N-CRM). PK/PD expansion cohorts will also be included in Part 1 to characterize the range of biologically effective doses by assessing PD markers and obtain additional PK data. Part 2 will explore further the safety, tolerability, and clinical activity of GSK2879552, alone or in combination with ATRA, at the RP2D in subjects with AML.",2014,8,Phase 1,38,Terminated,"Leukemia, Myeloid, Acute",August,2011-2015,<50
4782,Sanofi,"National, Multicenter, Open Label, Phase IV, Before-after Design Study, in Adult Patients With Primary Insomnia to Evaluate Sleep Satisfaction and Psychomotor Performance After 1 Month of Treatment With Zolpidem CR (Ambien®CR) in 6 Sites in Argentina",Primary Objective: To assess sleep satisfaction before and after Zolpidem CR (Ambien CR) administration Secondary Objective: To assess Psychomotor Performance before and after Zolpidem CR (Ambien CR) administration,2010,3,Phase 4,30,Completed,Sleep Wake Disorders,March,2006-2010,<50
4783,Sanofi,"A Phase 2, Multi-center, Open-Label, Randomized Trial of Gemcitabine/ Carboplatin, With or Without BSI-201, in Patients With ER, PR and HER2-negative Metastatic Breast Cancer","The purpose of this clinical trial was to determine whether combining iniparib (BSI-201) with standard chemotherapy in estrogen receptor (ER)-negative, progesterone receptor (PR)-negative, and human epidermal growth factor receptor 2 (HER2) negative metastatic breast cancer patients improve clinical benefit compared to treatment with standard chemotherapy alone. Based on data generated by BiPar/Sanofi, it was concluded that iniparib does not possess characteristics typical of the poly (ADP-ribose) polymerase (PARP) inhibitor class. The exact mechanism has not yet been fully elucidated, however based on experiments on tumor cells performed in the laboratory, iniparib is a novel investigational anti-cancer agent that induces gamma-H2AX (a marker of DNA damage) in tumor cell lines, induces cell cycle arrest in the G2/M phase in tumor cell lines, and potentiates the cell cycle effects of DNA damaging modalities in tumor cell lines. Investigations into potential targets of iniparib and its metabolites are ongoing.",2007,10,Phase 2,123,Completed,Breast Neoplasms,October,2006-2010,100-499
4784,JNJ,"A Phase 1 Study to Examine the Cytokine Levels, Gene Expression and Safety of a Single Nasal Dose of JNJ-43260295, in a Double-Blind, Randomized, Placebo-Controlled Setting in Healthy Subjects, and by an Open-Label Assessment in Atopic Subjects With Mild to Mild-Persistent Asthma With and Without Nasal Allergen Challenge Prior to Dosing","The purpose of this study is to investigate the cytokine levels in nasal lavage and gene expression in nasal scraping following a single nasal dose of JNJ-43260295 in healthy participants, and in atopic mild to mild-persistent asthmatic (breathing disorder in which there is wheezing and difficulty in breathing) participants with and without nasal allergen challenge prior to dosing.",2014,10,Phase 1,17,Terminated,Asthma,October,2011-2015,<50
4785,Novartis,"An Open-label, Multicenter, Phase IV Study to Evaluate the Efficacy and Safety of Telbivudine 600mg Tablets in Chinese Patients With Chronic Hepatitis B","The ""Chinese PAC"" study (CLDT600ACN03) will evaluate the efficacy and safety of open label telbivudine in 2,200 compensated Chronic Hepatitis B (CHB) adults. The primary objective of the study is the proportion of patients achieving undetectable HBV DNA at week 52.",2008,8,Phase 4,2200,Completed,"Hepatitis, Chronic",August,2006-2010,1K-5K
4786,Novartis,"A Phase III, Multicenter, Uncontrolled, Open Label Study to Evaluate Safety and Immunogenicity of Influenza Vaccine (Surface Antigen, Inactivated) Ph.Eur, Formulation 2010/2011, When Administered to Adult and Elderly Subjects","Influenza poses a significant threat to individual and public health, and influenza vaccination with a trivalent inactivated influenza vaccine is widely recommended to children, adults at risks and elderly. Due to antigenic changes of influenza viruses, the virus strains used in interpandemic influenza vaccines are adjusted every year according to WHO (World Health Organization) and CHMP (Committee for Medicinal Products for Human Use) recommendations. Following a change in the vaccine antigen composition recommendation from the previous season, immunogenicity and tolerability of the newly composed vaccines are subject of evaluation in an annual clinical trial in non-elderly adult and elderly subjects according to the guidelines set by EMEA (CPMP/BWP/214/96).",2010,7,Phase 3,126,Completed,"Influenza, Human",July,2006-2010,100-499
4788,JNJ,"A Randomized, Controlled Phase 3 Study to Evaluate Optimized Retreatment and Prolonged Therapy With Bortezomib (Velcade) in Patients With Multiple Myeloma in First or Second Relapse.","The objective of this study is to describe the effect of optimized retreatment with bortezomib in combination with dexamethasone followed by prolonged therapy with bortezomib, versus standard retreatment with bortezomib in combination with dexamethasone on progression free survival (PFS).",2013,4,Phase 3,80,Completed,Multiple Myeloma,April,2011-2015,50-99
4789,GSK,Assess Long-term Persistence of Hepatitis B Antibodies & Immune Response to a Hepatitis B Vaccine (Engerix-B Kinder) Challenge in Children Aged 4-5 Years (Previously Primed & Boosted in the 1st 2 Years of Life With DTPa-HBV-IPV/Hib Vaccine),"The purpose of this study is to determine at 5 years of age the persistence of immunity to hepatitis B that was conferred by infant vaccination with Infanrix hexa™. The Protocol Posting has been updated in order to comply with the FDA Amendment Act, Sep 2007.",2006,12,Phase 4,301,Completed,Hepatitis B,December,2006-2010,100-499
4790,Bayer,"Open-label, Randomized, Single-dose, Cross-over Study to Evaluate the Influence of Dietary Habits on the Pharmacokinetics, Safety, and Tolerability of a 120 mg Dose and to Assess the Relative Bioavailability of a 240 mg Dose of Nifurtimox Tablets Administered to Adult Male and Female Patients With Chagas' Disease",This study will evaluate the effect of food on the absorption of the drug as well as safety and tolerability in adults suffering from chronic Chagas' disease In addition pharmacokinetics of the drug following 120 and 240 mg single doses will be assessed,2019,4,Phase 1,36,Not yet recruiting,Chagas Disease,April,2016-2020,<50
4791,Sanofi,"A Pilot, Phase II, Multicenter, Open-Label, Prospective Evaluation of Docetaxel and Bevacizumab ± Trastuzumab in the First-Line Treatment of Patients With Metastatic Breast Cancer","Pilot, phase II, parallel-group, open-label, noncomparative, prospective, multicenter study designed to evaluate the progression-free survival of docetaxel and bevacizumab ± trastuzumab for the first-line treatment of participants with metastatic breast cancer. Participants were stratified according to human epidermal growth factor receptor-2 (HER2) status at the time of enrollment. HER2 negative participants were assigned to receive docetaxel and bevacizumab (DB). HER2 positive participants were assigned to receive docetaxel, bevacizumab, and trastuzumab (DBT). All participants (except one) were off study treatment on 30 June 2011. All efficacy analysis and safety analysis was performed using the cut-off date of June 2011. One participant continued treatment till 11 March 2012. For this participant, adverse events were collected upto 19 April 2012 and included in the safety analysis.",2006,8,Phase 2,73,Completed,Breast Neoplasms,August,2006-2010,50-99
4792,GSK,Safety and Immunogenicity Study of GSK Biologicals' Candidate Tuberculosis Vaccine (692342) When Administered to Healthy Infants,"This purpose of the study is to assess the safety and immunogenicity of a GSK Biologicals' candidate tuberculosis vaccine (692342) when administered concomitantly with or after the Expanded Programme of Immunisation vaccines regimen to healthy infants aged between and including 2 and 7 months, living in a tuberculosis endemic region.",2010,7,Phase 1/Phase 2,301,Completed,Tuberculosis,July,2006-2010,100-499
4793,GSK,TRX4 Therapeutic Evaluation of Different Multi-Dose Regimens in Type 1 Diabetes Mellitus (TTEDD),"The purpose of this study is to optimize several multi-dose regimens of otelixizumab, determine the highest biologically active dose, evaluate biomarkers and surrogates of efficacy, and to evaluate the effects of each multi-dose regimen of otelixizumab against standard safety and efficacy parameters.",2006,7,Phase 2,88,Terminated,"Diabetes Mellitus, Type 1",July,2006-2010,50-99
4794,GSK,"A Phase 1 Dose Escalation Study to Investigate the Pharmacokinetics, Pharmacodynamics, Safety, and Tolerability of Single Intravenous Doses of GSK2315698A in Healthy Volunteers",The purpose of this study is to provide safety information and to define the optimal induction and short term maintenance regimen for GSK2315698 to deplete circulating SAP in healthy volunteers prior to assessing in patients,2011,1,Phase 1,21,Completed,Amyloidosis,January,2011-2015,<50
4795,GSK,Clinical Evaluation of GSK576428 (Fondaparinux Sodium) in the Treatment of Acute Pulmonary Thromboembolism (PE),"The primary objective is to evaluate the efficacy (as measured by the rate of recurrent symptomatic Venous Thromboembolism [VTE] (i.e., Pulmonary thromboembolism [PE] and Deep Vein Thrombosis [DVT])) and safety of GSK576428 as the initial treatment in subjects with acute PE in an open-label design.",2007,7,Phase 3,41,Completed,Pulmonary Embolism,July,2006-2010,<50
4796,Novartis,An Open-label Extended Clinical Protocol of Ranibizumab to Evaluate Safety and Efficacy in Rare VEGF Driven Ocular Diseases.,The pupose of this study is to evaluate the safety and the efficacy of ranibizumab in rare VEGF driven ocular diseases.,2013,9,Phase 3,272,Completed,Choroidal Neovascularization,September,2011-2015,100-499
4797,Roche,"A Randomized, Double-blind Study of the Effect of Beta-lactam on Treatment Response in Patients Hospitalized With Bacterial Pneumonia","This study will assess the efficacy and safety of intravenous beta-lactam, in comparison with ceftriaxone, in hospitalized patients with community-acquired pneumonia not caused by Legionella. The anticipated time on study treatment is 3-12 months and the target sample size is 100-500 individuals.",2005,3,Phase 2,302,Completed,"Pneumonia, Bacterial",March,2001-2005,100-499
4798,Roche,"An Open-label, Multi-center, Three Arm Randomized Study to Investigate the Safety and Efficacy on Progression-free Survival of RO5072759 + Chlorambucil (GClb) Compared to Rituximab + Chlorambucil (RClb) or Chlorambucil (Clb) Alone in Previously Untreated CLL Patients With Comorbidities.","This open-label, randomized, 3-arm study will evaluate the efficacy and safety of obinutuzumab (RO5072759) in combination with chlorambucil as compared to rituximab plus chlorambucil or chlorambucil alone in patients with previously untreated chronic lymphocytic leukemia (CLL). Patients will be randomized 2:2:1 to receive a maximum of six 28-day cycles of either RO5072759 (1000 mg intravenous (iv) infusion, on days 1, 8 and 15 of cycle 1 and day 1 of cycles 2-6) plus chlorambucil (0.5 mg/kg orally, days 1 and 15 of cycles 1-6), or rituximab (iv infusion day 1, 375 mg/m^2 cycle 1, 500 mg/m^2 cycles 2-6) plus chlorambucil, or chlorambucil alone. Anticipated time on study treatment is >6 months and follow-up for disease-progression and safety will be at least 5 years. In the US, this trial is sponsored/managed by Genentech.",2009,12,Phase 3,787,Completed,"Leukemia, Lymphocytic, Chronic, B-Cell",December,2006-2010,500-999
4799,Pfizer,"Double-Blind, Double Dummy, Randomized Comparison Study to Evaluate the Efficacy and Safety of Valdecoxib 10 mg QD and Naproxen 500 mg BID in Treating the Signs and Symptoms of Osteoarthritis of the Knee","This study was performed to demonstrate that treatment with valdecoxib 10 mg daily (QD) was at least as effective as with naproxen 500 mg twice daily (BID), a standard non-steroidal anti-inflammatory drug (NSAID), when taken for 6 weeks in Korean subjects with symptomatic osteoarthritis (OA) of the knee. Secondary objectives were to assess the overall safety and tolerability of valdecoxib 10 mg QD taken for 6 weeks in Korean subjects with symptomatic OA of the knee.",2004,5,Phase 3,265,Completed,Osteoarthritis,May,2001-2005,100-499
4800,Novartis,"A 24-month Randomized, Double-masked, Sham Controlled, Multicenter, Phase IIIB Study Comparing Photodynamic Therapy With Verteporfin (Visudyne®) Plus Two Different Dose Regimens of Intravitreal Triamcinolone Acetonide (1 mg and 4 mg) Versus Visudyne® Plus Intravitreal Pegaptanib(Macugen®) in Patients With Subfoveal Choroidal Neovascularization Secondary to Age-related Macular Degeneration",To evaluate the safety and efficacy of the combination treatments in wet age-related macular degeneration. The combination treatment consists of verteporfin photodynamic therapy and either triamcinolone acetonide or pegaptanib added as an intravitreal injection.,2005,9,Phase 3,111,Completed,Macular Degeneration,September,2001-2005,100-499
4801,Novartis,"A Phase 2, Multi-center, Open-label, Randomized Study of Oral Asciminib Added to Imatinib Versus Continued Imatinib Versus Switch to Nilotinib in Patients With CML-CP Who Have Been Previously Treated With Imatinib and Have Not Achieved Deep Molecular Response","To evaluate efficacy, safety and pharmacokinetic profile of asciminib 40mg+imatinib or asciminib 60mg+imatinib versus continued imatinib and versus nilotinib in pre-treated patients with Chronic Myeloid Leukemia in chronic phase (CML-CP)",2018,11,Phase 2,120,Recruiting,"Leukemia, Myeloid",November,2016-2020,100-499
4802,Novartis,ElevatION: CRC-101: A Phase Ib Study of PDR001 in Combination With Bevacizumab and mFOLFOX6 as First Line Therapy in Patients With Metastatic MSS Colorectal Cancer,"This was a phase Ib study of PDR001 in combination with bevacizumab and mFOLFOX6 as first line therapy in patients with metastatic microsatellite stable (MSS) colorectal cancer. The study was to have assessed primarily, the safety and tolerability and then the efficacy of PDR001 in combination with bevacizumab and mFOLFOX6. Particular attention would have been paid to the level of activity of study drug combinations in CMS4 patients (retrospective analysis). The study was terminated early due to company decision.",2017,9,Phase 1,1,Completed,Colorectal Neoplasms,September,2016-2020,<50
4803,Roche,"A Multicenter, Randomized, Double-dummy, Placebo and Active-controlled Study to Assess the Safety, Tolerability and Effect of Taspoglutide on Glycemic Control Compared to Sitagliptin and Placebo in Patients With Type II Diabetes Mellitus Inadequately Controlled With Metformin.","This 4 arm study will assess the efficacy, safety and tolerability of taspoglutide compared to sitagliptin and placebo in patients with type 2 diabetes mellitus inadequately controlled with metformin. Patients will be randomized to receive taspoglutide (10mg once weekly or 10mg once weekly for 4 weeks followed by 20mg once weekly), sitagliptin 100mg once daily or placebo, in a ratio of 2:2:2:1, in addition to their continued prestudy metformin treatment. After 24 weeks of treatment, patients on active treatment will continue on the same treatment and patients on placebo will be switched to taspoglutide 10mg once weekly or taspoglutide 20mg once weekly (after 4 weeks of taspoglutide 10mg once weekly). The anticipated time on study treatment is 2+ years, and the target sample size is 500+ individuals.",2008,10,Phase 3,666,Completed,"Diabetes Mellitus, Type 2",October,2006-2010,500-999
4804,Novartis,"A Two Part, Double Blind, Placebo Controlled, Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamic Effects of Multiple Doses of QBM076 in Patients With COPD",This was a 2 Part study. Part 1 was a safety and tolerability study in GOLD I-III COPD patients. Part 2 was an efficacy study in GOLD I-III COPD patients.,2013,11,Phase 2,48,Terminated,"Pulmonary Disease, Chronic Obstructive",November,2011-2015,<50
4805,Novartis,"A Randomized, Double-blind, Placebo-controlled, Cross-over, Single-dose Study to Evaluate the Effects of AQW051 on Cognitive Function in Patients With Chronic Stable Schizophrenia Including a One Week Multiple-dose Extension to Assess the Persistence of Observed Effects and a Multiple-dose Cross Over Study in Non Smokers Only.",This PoC study is designed to assess the cognitive effects of doses of AQW051 in patients with chronic stable schizophrenia.,2010,5,Phase 2,57,Completed,Schizophrenia,May,2006-2010,50-99
4806,JNJ,"Phase 2, Open-Label Study to Investigate the Pharmacokinetics, Efficacy, Safety, and Tolerability of the Combination of Simeprevir (TMC435), Daclatasvir (BMS-790052) and Ribavirin (RBV) in Subjects With Recurrent Chronic Hepatitis C Genotype 1b Infection After Orthotopic Liver Transplantation","The purpose of the study is to evaluate effect of steady-state (when the amount of drug administered (in a given time period is equal to the amount of drug eliminated in that same period) of simeprevir and daclatasvir on the steady-state pharmacokinetics (what a medication does to the body) of cyclosporine (applicable to Part 1 only) and tacrolimus when administered as a combinational regimen in post-orthotopic liver transplantation (OLT) participants with recurrent hepatitis C virus (HCV) genotype 1b infection and effectiveness of a 24-week treatment regimen containing simeprevir, daclatasvir, and ribavirin (RBV) with respect to the proportion of HCV genotype 1b infected post-OLT participants achieving sustained virologic response 12 weeks after end of treatment.",2013,12,Phase 2,35,Completed,Hepatitis,December,2011-2015,<50
4807,GSK,"A Single-arm, International, Multi-center Trial of HuMax-CD20, a Fully Human Monoclonal Anti-CD20 Antibody, in Patients With Follicular Lymphoma Who Are Refractory to Rituximab as Monotherapy or in Combination With Chemotherapy","A Single-Arm, International, Multi-Center Trial of HuMax-CD20 (Ofatumumab), a Fully Human Monoclonal Anti-CD20 Antibody, in Patients With Follicular Lymphoma Who Are Refractory to Rituximab as Monotherapy or in Combination With Chemotherapy",2007,5,Phase 2,116,Completed,"Lymphoma, Follicular",May,2006-2010,100-499
4808,Pfizer,"A Phase 2/3 Randomized, Controlled, Double-Masked, Multi-Center, Comparative Trial, In Parallel Groups, To Compare The Safety And Efficacy Of Intravitreous Injections Of 0.3 Mg Pegaptanib Sodium (Macugen®), Given As Often As Every 6 Weeks For 2 Years, To Sham Injections In Subjects With Diabetic Macular Edema (DME) Involving The Center Of The Macula With An Open-Label Macugen Year 3 Extension.",The purpose of the study is to test whether Macugen injected into the eye improves vision in more patients than the currently existing standard of care laser therapy. The safety of Macugen compared to standard of care laser will also be evaluated.,2005,9,Phase 2/Phase 3,317,Completed,Macular Edema,September,2001-2005,100-499
4809,Pfizer,"A Phase 3, Double-Blind, Randomized, Safety And Efficacy Study Comparing A Single Oral Dose Of Ibuprofen (IBU) 250 Mg/Acetaminophen (APAP) 500 Mg (Administered As Two Tablets Of IBU/APAP 125 Mg/250 Mg) To Each Active Drug Monocomponent Alone And To Placebo In The Treatment Of Post-Surgical Dental Pain","This is a randomized, double blind, placebo-controlled, parallel group, single-center study in approximately 560 subjects to determine the overall analgesic efficacy and safety of a fixed-dose ibuprofen 250 mg / acetaminophen 500 mg formulation compared to ibuprofen 250 mg alone, acetaminophen 650 mg alone, and to placebo. Subjects will be healthy males and females aged 18-40 years, inclusive, who are experiencing post-operative pain following surgical extraction of 3 or more third molar teeth. Following extraction, subjects must experience, within 5 hours, post-surgical pain of at least moderate severity (on a 4-point categorical scale), confirmed by a Visual Analog Pain Severity Rating Scale (VAS PSR) of at least 50 mm on a 100 mm VAS PSR scale. Eligible subjects will be randomized to receive a single oral dose of study medication under double-blind conditions and then evaluated on site for 12 hours following administration of study medication. Subjects will provide self-ratings of pain severity and pain relief at various time points using categorical and numerical scales. Additionally, subjects will also evaluate the time to first perceptible relief and time to meaningful relief using a double stopwatch method. Finally, at 12 hours, subjects will complete a categorical Global Evaluation of the study medication. A review of any reported adverse events will also be completed.",2015,9,Phase 3,568,Completed,Toothache,September,2011-2015,500-999
4810,Merck,"Multicenter, Randomized, Open-label, Parallel Group, Phase IV Study to Compare the Efficacy and Safety of Gabapentin/B-complex Versus Pregabalin in the Management of Diabetic Peripheral Neuropathic Pain","This is a multicenter, randomized, open-label, parallel, Phase 4 clinical trial to compare efficacy and safety of gabapentin/B-complex versus pregabalin in diabetic peripheral neuropathy pain (DPNP) management.",2011,4,Phase 4,353,Completed,Diabetic Neuropathies,April,2011-2015,100-499
4811,Sanofi,Effect of Insulin Glulisine Compared to Insulin Aspart and Insulin Lispro When Administered by Continuous Subcutaneous Insulin Infusion (CSII) on Specific Pump Parameters in Patient With Type 1 Diabetes Mellitus,"Primary objective: To demonstrate the superiority of insulin glulisine over insulin aspart and insulin lispro administered by external pump in term of unexplained hyperglycemia and/or infusion set occlusion. Main Secondary objectives: To compare insulin glulisine, insulin aspart and insulin lispro on: - Unexplained hyperglycemia - Infusion set occlusion - Hypoglycemic episodes,7-point blood glucose profiles - Episodes of significant ketosis and/or risk level for impending diabetic ketoacidosis - Time to change the infusion set - HbA1c (Glycosylated hemoglobin) - Overall safety: incidence of adverse events",2008,1,Phase 4,289,Completed,"Diabetes Mellitus, Type 1",January,2006-2010,100-499
